id,name,en,pinyin,desig,rank,display_ra,display_dec,display_scale
1,毕宿,Net,Bi Xiu,毕宿,1,64.9945,15.8353,9.6
2,壁宿,Wall,Bi Xiu,壁宿,1,2.703,22.137,13.9
3,参宿,Three Stars,Shen Xiu,参宿,1,83.7137,-1.1313,17.1
4,氐宿,Root,Di Xiu,氐宿,1,-131.6994,-14.5873,11.2
5,斗宿,Dipper,Dou Xiu,斗宿,1,-79.9121,-25.4695,13.3
6,房宿,Room,Fang Xiu,房宿,1,-119.7097,-24.5098,9.4
7,鬼宿,Ghosts,Gui Xiu,鬼宿,1,129.5351,19.7815,3.4
8,箕宿,Winnowing Basket,Ji Xiu,箕宿,1,-86.2525,-33.2949,6.9
9,角宿,Horn,Jiao Xiu,角宿,1,-157.5142,-5.8786,10.6
10,井宿,Well,Jing Xiu,井宿,1,101.6213,19.0134,15.8
11,亢宿,Neck,Kang Xiu,亢宿,1,-144.8627,-7.7995,11.1
12,奎宿,Legs,Kui Xiu,奎宿,1,14.7505,31.0568,20
13,柳宿,Willow,Liu Xiu,柳宿,1,134.0025,4.3666,9.2
14,娄宿,Bond,Lou Xiu,娄宿,1,30.088,21.3781,4.2
15,昴宿,Hairy Head,Mao Xiu,昴宿,1,56.7548,24.2514,1.1
16,牛宿,Ox,Niu Xiu,牛宿,1,-54.7088,-15.5641,6
17,女宿,Girl,Nü Xiu,女宿,1,-47.4588,-7.2617,4.5
18,室宿,Encampment,Shi Xiu,室宿,1,-13.9331,21.6441,12.9
19,太微右垣,Supreme Palace Right Wall,Tai Wei You Yuan,太微右垣,2,173.1005,11.1442,18.8
20,太微左垣,Supreme Palace Left Wall,Tai Wei Zuo Yuan,太微左垣,2,-168.7632,8.04,19
21,天市右垣,Heavenly Market Right Wall,Tian Shi You Yuan,天市右垣,2,-118.5048,5.4613,32.1
22,天市左垣,Heavenly Market Left Wall,Tian Shi Zuo Yuan,天市左垣,2,-88.0265,6.5188,44.5
23,危宿,Rooftop,Wei Xiu,危宿,1,-30.7018,4.7776,10.2
24,尾宿,Tail,Wei Xiu,尾宿,1,-100.2815,-38.7662,14.4
25,胃宿,Stomach,Wei Xiu,胃宿,1,41.6795,28.2538,2
26,心宿,Heart,Xin Xiu,心宿,1,-112.8661,-26.9044,3.7
27,星宿,Star,Xing Xiu,星宿,1,142.4536,-6.5588,10.8
28,虚宿,Emptiness,Xu Xiu,虚宿,1,-39.0771,-0.1617,10.8
29,翼宿,Wings,Yi Xiu,翼宿,1,170.7051,-18.5479,17.5
30,张宿,Extended Net,Zhang Xiu,张宿,1,152.3611,-15.2277,14.6
31,轸宿,Chariot,Zhen Xiu,轸宿,1,-174.6499,-20.4624,8.5
32,紫微右垣,Purple Forbidden Right Wall,Zi Wei You Yuan,紫微右垣,2,130.5471,67.1031,161.1
33,紫微左垣,Purple Forbidden Left Wall,Zi Wei Zuo Yuan,紫微左垣,2,-58.412800000000004,66.9764,16.8
34,觜宿,Turtle Beak,Zi Xiu,觜宿,1,83.9659,9.6124,0.6
35,八谷,Eight Kinds of Crops,Ba Gu,八谷,3,82.1018,57.1444,15.6
36,八魁,Net for Catching Birds,Ba Kui,八魁,3,-357.3479,-14.7212,8.4
37,败瓜,Rotten Gourd,Bai Gua,败瓜,3,-50.9572,11.7007,3.2
38,败臼,Decayed Mortar,Bai Jiu,败臼,3,-24.1932,-34.4522,14.6
39,北斗,Northern Dipper,Bei Dou,北斗,3,-173.8272,55.5322,41.4
40,北河,North River,Bei He,北河,3,114.3035,29.9573,4.1
41,北极,Northern Pole,Bei Ji,北极,3,-148.7555,77.6234,37.9
42,北落师门,North Gate of the Military Camp,Bei Luo Shi Men,北落师门,3,-15.5873,-29.6222,0
43,鳖,River Turtle,Bie,鳖,3,-77.8746,-41.516,10.8
44,波斯,Persia,Bo Si,波斯,3,-45.8709,-51.5875,31.9
45,帛度,Textile Ruler,Bo Du,帛度,3,-88.7169,21.2052,1.8
46,参旗,Banner of Three Stars,Can Qi,参旗,3,73.5486,7.9823,12.5
47,厕,Toilet,Ce,厕,3,84.9459,-20.1353,5.8
48,策,Whip,Ce,策,3,14.1772,60.7167,0
49,常陈,Royal Guards,Chang Chen,常陈,3,-172.7324,40.682,13.5
50,车府,Big Yard for Chariots,Che Fu,车府,3,-31.0175,43.9673,28.1
51,车骑,Chariots and Cavalry,Che Qi,车骑,3,-136.8872,-50.7625,9.9
52,车肆,Commodity Market,Che Si,车肆,3,-110.2954,-9.5773,5.5
53,刍藁,Hay,Chu Gao,刍藁,3,37.0685,-7.5352,9.5
54,杵(箕宿),Pestle (In Winnowing Basket Mansion),Chu(Ji Xiu),杵(箕宿),3,-97.38,-51.0178,9
