id,name,desig,gen,rank,en,la,ar,zh,cz,fa,ee,fi,fr,de,el,it,ja,ko,hi,ru,es,tr,he,sw,ra,dec,scale
And,Andromeda,And,Andromedae,1,Andromeda,Andromeda,المرأة المسلسلة,仙女座,Andromeda,زن به زنجیر بسته,Andromeeda,Andromeda,Andromède,Andromeda,Ανδρομέδα,Andromeda,アンドロメダ座,안드로메다자리,देवयानी,Андромеда,Andrómeda,Andromeda,אנדרומדה,Mara,-350,37,115
Ant,Antlia,Ant,Antliae,3,Air Pump,Antlia,مفرغة الهواء,唧筒座,Vývěva,تلمبه,Pump,Ilmapumppu,Machine Pneumatique,Luftpumpe,Αντλία,Macchina Pneumatica,ポンプ座,공기펌프자리,वाताकर्षक,Насос,Máquina Neumática,Pompa,משאבה,Pampu,154.1067,-32.4836,60
Aps,Apus,Aps,Apodis,3,Bird of Paradise,Apus,طائر الفردوس,天燕座,Rajka,مرغ بهشتی,Paradiisilind,Paratiisilintu,Oiseau de Paradis,Paradiesvogel,Πτηνόν,Uccello del Paradiso,ふうちょう座,극락조자리,कपोत,Райская Птица,Ave del Paraíso,Cennetkuşu,ציפור גן עדן,Ndege wa Peponi,-118,-75,47
Aqr,Aquarius,Aqr,Aquarii,2,Aquarius,Aquarius,الدلو,寶瓶座,Vodnář,آب‌ریز,Veevalaja,Vesimies,Verseau,Wassermann,Υδροχόος,Acquario,みずがめ座,물병자리,कुंभ,Водолей,Acuario,Kova,דלי,Ndoo,-25,-11,115
Aql,Aquila,Aql,Aquilae,1,Eagle,Aquila,العقاب,天鷹座,Orel,شاهین,Kotkas,Kotka,Aigle,Adler,Αετός,Aquila,わし座,독수리자리,गरुड,Орёл,Águila,Kartal,נשר,Ukabu,-64.9946,3.4109,64
Ara,Ara,Ara,Arae,3,Altar,Ara,المجمرة,天壇座,Oltář,آتش‌دان,Altar,Alttari,Autel,Altar,Βωμός,Altare,さいだん座,제단자리,पीठ,Жертвенник,Altar,Sunak,מזבח,Madhabahu,-99.3786,-56.5883,59
Ari,Aries,Ari,Arietis,1,Ram,Aries,الحمل,白羊座,Beran,بره,Jäär,Oinas,Bélier,Widder,Κριός,Ariete,おひつじ座,양자리,मेष,Овен,Carnero,Koç,טלה,Kondoo,39.5412,20.7923,61
Aur,Auriga,Aur,Aurigae,1,Charioteer,Auriga,ممسك الأعنة,御夫座,Vozka,ارّابه‌ران,Veomees,Ajomies,Cocher,Fuhrmann,Ηνίοχος,Auriga,ぎょしゃ座,마차부자리,सारथी,Возничий,Cochero,Arabacı,עגלון,Hudhi,91,42,88
Boo,Boötes,Boo,Boötis,1,Herdsman,Bootes,العواء,牧夫座,Pastýř,مَتراک,Karjane,Karhunvartija,Bouvier,Bärenhüter,Βοώτης,Boote,うしかい座,목동자리,भूतप,Волопас,Boyero,Çoban,רועה דובים,Bakari,-140,31,108
Cae,Caelum,Cae,Caeli,3,Graving tool,Caelum,آلة النقاش,雕具座,Rydlo,اِسکِنِه,Uurits,Veistotaltta,Burin,Grabstichel,Γλυφείον,Bulino dello Incisore,ちょうこくぐ座,조각칼자리,टंक,Резец,Cincel,Çelikkalem,מפסלת,Patasi,70.5687,-37.8817,46
Cam,Camelopardalis,Cam,Camelopardalis,2,Giraffe,Camelopardalis,الزرافة,鹿豹座,Žirafa,زرّافه,Kaelkirjak,Kirahvi,Girafe,Giraffe,Καμηλοπάρδαλις,Giraffa,きりん座,기린자리,करभ,Жираф,Jirafa,Zürafa,ג'ירף,Twiga,80,70,160
Cnc,Cancer,Cnc,Cancri,2,Crab,Cancer,السرطان,巨蟹座,Rak,خرچنگ,Vähk,Krapu,Cancer,Krebs,Καρκίνος,Cancro,かに座,게자리,कर्क,Рак,Cangrejo,Yengeç,סרטן,Nge,129.7392,19.8058,57
CVn,Canes Venatici,CVn,Canum Venaticorum,2,Hunting Dogs,Canes Venatici,السلوقيان,獵犬座,Honicí psi,تازی‌ها,Jahipenid,Ajokoirat,Chiens de Chasse,Jagdhunde,Κύνες Θηρευτικοί,Cani da Caccia,りょうけん座,사냥개자리,श्याम शबल,Гончие Псы,Lebreles,Av Köpekleri,כלבי ציד,Mbwa wawindaji,-163.2598,40.1018,65
CMa,Canis Major,CMa,Canis Majoris,1,Great Dog,Canis Maior,الكلب الأكبر,大犬座,Velký pes,سگِ مِهتَر,Suur Peni,Iso koira,Grand Chien,Großer Hund,Κύων Μέγας,Cane Maggiore,おおいぬ座,큰개자리,बृहद् लुब्धक,Большой Пёс,Perro Mayor,Büyük Köpek,כלב גדול,Mbwa Mkubwa,102.4362,-22.1403,54
CMi,Canis Minor,CMi,Canis Minoris,2,Little Dog,Canis Minor,الكلب الأصغر,小犬座,Malý pes,سگِ کِهتَر,Väike Peni,Pieni koira,Petit Chien,Kleiner Hund,Κύων Μικρός,Cane Minore,こいぬ座,작은개자리,लघु लुब्धक,Малый Пёс,Perro Menor,Küçük Köpek,כלב קטן,Mbwa Mdogo,114.7929,6.4272,51
Cap,Capricornus,Cap,Capricorni,2,Capricorn,Capricornus,الجدي,摩羯座,Kozoroh,بُزماهی,Kaljukits,Kauris,Capricorne,Steinbock,Αιγόκερως,Capricorno,やぎ座,염소자리,मकर,Козерог,Capricornio,Oğlak,גדי,Mbuzi,-44.268,-18.0232,63
Car,Carina,Car,Carinae,1,Keel,Carina,القاعدة,船底座,Lodní kýl,شاه‌تخته,Kiil,Köli,Carène,Kiel des Schiffs,Τρόπις,Carena,りゅうこつ座,용골자리,नौकातल,Киль,Carina,Karina,שדרית,Mkuku,130.4248,-63.2193,114
Cas,Cassiopeia,Cas,Cassiopeiae,1,Cassiopeia,Cassiopeia,الكرسي,仙后座,Kasiopeja,خداوندِ اورُنگ,Kassiopeia,Kassiopeia,Cassiopée,Kassiopeia,Κασσιόπη,Cassiopeia,カシオペヤ座,카시오페이아자리,शर्मिष्ठा,Кассиопея,Casiopea,Koltuk,קסיופאה,Mke wa Kurusi,-340.2111,62.184,106
Cen,Centaurus,Cen,Centauri,1,Centaur,Centaurus,قنطور,半人馬座,Kentaur,قنطورُس,Kentaur,Kentauri,Centaure,Zentaur,Κένταυρος,Centauro,ケンタウルス座,센타우루스자리,नरतुरंग,Центавр,Centauro,Erboğa,קנטאור,Kantarusi,-164,-47,115
