id,name,ar,zh,fi,fr,de,it,ko,fa,es,ru,ja,la,tr,el,he,hi,en
18,Calabash Nebula,‎‎سديم كالاباش‎‎,葫芦星云,Pullokurpitsasumu,Nébuleuse de la Calebasse,Kürbis-Nebel,Nebulosa Zucca,호리병박 성운,سحابی کدو قلیانی,Nebulosa de la Calabaza,Туманность Калебаса,NA,NA,NA,NA,NA,NA,NA
19,Frosty Leo Nebula,‎‎سديم الأسد الصقيعي‎‎,霜狮星云,Leijonan huurresumu,Nébuleuse du Lion gelé,NA,Nebulosa Gelida del Leone,서리사자 성운,سحابی فراستی لئو,Nebulosa del León Escarchado,Туманность Седой лев,NA,NA,NA,NA,NA,NA,NA
20,Gomez's Hamburger,‎‎هامبرجر جوميز‎‎,戈麦斯汉堡,Gomezin hampurilainen,Hamburger de Gomez,NA,Hamburger di Gomez,우주의 햄버거,سحابی همبرگرگومز,Hamburguesa de Gomez,Гамбургер Гомеза,NA,NA,NA,NA,NA,NA,NA
21,Footprint Nebula,‎‎سديم أثر القدم‎‎,脚印星云,Jalanjälkisumu,Nébuleuse de l'Empreinte de pas,Fußabdruck-Nebel,Nebulosa Orma,발자국 성운,NA,Nebulosa de la Huella,Туманность След,足跡星雲,NA,NA,NA,NA,NA,NA
22,Sagittarius A East,‎‎القوس أ الشرقي‎‎,人马座东星,Sagittarius A itäinen,Sagittarius A Est,Sagittarius A Ost,Sagittarius A Est,궁수자리 A 동쪽,منطقه شرقی کماندار - A,Sagittarius A Este,Восточный Стрелец А,いて座Aイースト,Sagittarius A orientalis,NA,NA,NA,NA,NA
23,Sagittarius A West,‎‎القوس أ الغربي‎‎,人马座西星,Sagittarius A läntinen,Sagittarius A Ouest,NA,Sagittarius A Ovest,궁수자리 A 서쪽,منطقه غربی کماندار- A,Sagittarius A Oeste,Западный Стрелец А,いて座Aウェスト,Sagittarius A occidentalis,NA,NA,NA,NA,NA
40,Dark Doodad Nebula,‎سديم الشيء الداكن‎,黑饰品星云,NA,Nébuleuse du Bidule sombre,Dark Doodad,Nebulosa Scura Marchingegno,다크 두데드 성운,NA,Nebulosa del Artilugio Oscuro,Туманность Тёмная штуковина,NA,NA,NA,NA,NA,NA,NA
NGC 40,Bow-Tie Nebula,‎‎سديم ربطة العنق‎‎,蝴蝶结星云,Rusettisumu,Nébuleuse du Nœud-Papillon,Mascherl-Nebel,Nebulosa Bow-Tie,부메랑 성운,سحابی پاپیون,Nebulosa de lazo,Туманность Бабочка,NA,NA,Bumerang Bulutsusu,NA,NA,NA,NA
NGC 55,String of Pearls,‎خيط اللؤلؤ‎,珍珠串星系,Helminauha,Collier de perles,Perlenschnur,NA,진주 고리,NA,Collar de Perlas,Жемчужная нить,NA,NA,NA,NA,NA,NA,NA
NGC 87,Robert's Quartet,‎‎رباعية روبرت‎‎,罗伯特四重星系,Robertin kvartetti,Quartette de Robert,Roberts Quartett,Quartetto di Robert,로버트의 사중주,چهارتایی رابرت,Cuarteto de Robert,Квартет Роберта,NA,NA,Robert Dörtlüsü,NA,NA,NA,NA
