id,name,desig,en,pinyin
43,王良增九,HD224784,Wang Liang Added IX,Wángliáng zēng IX
124,王良增十,HD224893,Wang Liang Added X,Wángliáng zēng X
145,垒壁阵十,29 Psc,Line of Ramparts X,Lěibìzhèn X
154,垒壁阵十二,30 Psc,Line of Ramparts XII,Lěibìzhèn XII
171,壁宿增五,85 Peg,Wall Added V,Bìxiù zēng V
186,土公增一,31 Psc,Official for Earthworks and Buildings Added I,Tǔgōng zēng I
194,土公一,c Psc,Official for Earthworks and Buildings I,Tǔgōng I
301,八魁二,2 Cet,Net for Catching Birds II,Bākuí II
330,王良增三,9 Cas,Wang Liang Added III,Wángliáng zēng III
355,八魁四,3 Cet,Net for Catching Birds IV,Bākuí IV
443,垒壁阵十一,33 Psc,Line of Ramparts XI,Lěibìzhèn XI
476,壁宿增十,86 Peg,Wall Added X,Bìxiù zēng X
531,王良增二,10 Cas,Wang Liang Added II,Wángliáng zēng II
635,垒壁阵增六,4 Cet,Line of Ramparts Added VI,Lěibìzhèn zēng VI
664,垒壁阵增七,5 Cet,Line of Ramparts Added VII,Lěibìzhèn zēng VII
677,壁宿二,α And,Wall II,Bìxiù II
729,壁宿增十八,87 Peg,Wall Added XVIII,Bìxiù zēng XVIII
746,王良一,β Cas,Wang Liang I,Wángliáng I
765,火鸟四,ε Phe,Firebird IV,Huǒniǎo IV
813,土公增二,34 Psc,Official for Earthworks and Buildings Added II,Tǔgōng zēng II
841,螣蛇增十九,22 And,Flying Serpent Added XIX,Téngshé zēng XIX
910,八魁一,6 Cet,Net for Catching Birds I,Bākuí I
1067,壁宿一,γ Peg,Wall I,Bìxiù I
1086,天厩增一,23 And,Celestial Stable Added I,Tiānjiù zēng I
1168,壁宿增十九,χ Peg,Wall Added XIX,Bìxiù zēng XIX
1170,八魁六,7 Cet,Net for Catching Birds VI,Bākuí VI
1196,土公增三,35 Psc,Official for Earthworks and Buildings Added III,Tǔgōng zēng III
1319,土公增四,36 Psc,Official for Earthworks and Buildings Added IV,Tǔgōng zēng IV
1340,壁宿增十一,HIP1340,Wall Added XI,Bìxiù zēng XI
1354,王良增十一,HD1239,Wang Liang Added XI,Wángliáng zēng XI
1366,天厩一,θ And,Celestial Stable I,Tiānjiù I
1427,壁宿增十七,HIP1427,Wall Added XVII,Bìxiù zēng XVII
1473,天厩三,σ And,Celestial Stable III,Tiānjiù III
1499,天仓增十九,HD1461,Square Celestial Granary Added XIX,Tiāncāng zēng XIX
1562,天仓一,ι Cet,Square Celestial Granary I,Tiāncāng I
1595,壁宿增十六,40 Psc,Wall Added XVI,Bìxiù zēng XVI
1599,鸟喙六,ζ Tuc,Bird's Beak VI,Niǎohuì VI
1645,土公增五,d Psc,Official for Earthworks and Buildings Added V,Tǔgōng zēng V
1686,天厩二,ρ And,Celestial Stable II,Tiānjiù II
1772,壁宿增十二,42 Psc,Wall Added XII,Bìxiù zēng XII
1803,八魁五,9 Cet,Net for Catching Birds V,Bākuí V
1948,壁宿增十三,HD2035,Wall Added XIII,Bìxiù zēng XIII
1960,王良增四,12 Cas,Wang Liang Added IV,Wángliáng zēng IV
1982,王良增十二,HD2054,Wang Liang Added XII,Wángliáng zēng XII
2006,土公增七,44 Psc,Official for Earthworks and Buildings Added VII,Tǔgōng zēng VII
2021,蛇尾一,β Hyi,Snake's Tail I,Shéwěi I
2025,土公二,45 Psc,Official for Earthworks and Buildings II,Tǔgōng II
2072,火鸟五,κ Phe,Firebird V,Huǒniǎo V
2081,火鸟六,α Phe,Firebird VI,Huǒniǎo VI
2100,土公增八,10 Cet,Official for Earthworks and Buildings Added VIII,Tǔgōng zēng VIII
