id,name,bayer,flam,var,hd,gl,hip,c,desig,gliese,ar,zh,el,ja,ko,ru,he,de,es,fi,fr,it,la,tr,fa,hi,en
63,,,,CG,HD 224801,,HIP 63,And,CG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,,τ,,,HD 224834,,HIP 88,Phe,τ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,,θ,,,HD 224889,,HIP 122,Oct,θ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,,,29,,HD 224926,,HIP 145,Psc,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,,,30,YY,HD 224935,,HIP 154,Psc,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,,,,BU,HD 224945,,HIP 159,Psc,BU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,,,85,,HD 224930,GJ 914A,HIP 171,Peg,85,GJ914A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,,,,V0822,HD 224980,,HIP 181,Cas,V0822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,,ζ,,,HD 224990,,HIP 183,Scl,ζ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,,,31,,HD 224995,,HIP 186,Psc,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,,c,32,,HD 225003,,HIP 194,Psc,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,,,,V0639,HD 225094,,HIP 274,Cas,V0639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,,,2,,HD 225132,,HIP 301,Cet,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,,,,V0398,HD 225136,,HIP 302,Cep,V0398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,,,9,,HD 225180,,HIP 330,Cas,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,,,3,,HD 225212,,HIP 355,Cet,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,,,,,HD 225239,NN 3002,HIP 394,NA,HD 225239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,,,,V0567,HD 225289,,HIP 418,Cas,V0567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,,,33,BC,HD 28,,HIP 443,Psc,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
